level_0,index,X_Raster,Y_Raster,rock_types
167,437,270.0,276.0,0.0
168,438,271.0,276.0,0.0
169,439,272.0,276.0,0.0
170,440,975.0,276.0,1.0
171,441,976.0,276.0,1.0
172,442,1134.0,276.0,1.0
173,443,1136.0,276.0,1.0
174,444,351.0,277.0,1.0
175,445,1027.0,277.0,1.0
176,446,1041.0,277.0,1.0
177,447,1042.0,277.0,1.0
178,448,1043.0,277.0,1.0
179,449,1137.0,277.0,1.0
180,450,75.0,278.0,0.0
181,451,77.0,278.0,0.0
182,452,352.0,278.0,1.0
183,453,981.0,278.0,1.0
184,454,995.0,278.0,1.0
185,455,1003.0,278.0,1.0
186,456,1046.0,278.0,1.0
187,457,1130.0,278.0,1.0
188,458,1132.0,278.0,1.0
189,459,1133.0,278.0,1.0
190,460,1144.0,278.0,1.0
191,461,1146.0,278.0,1.0
192,462,1149.0,278.0,1.0
193,463,1151.0,278.0,1.0
194,464,1008.0,279.0,1.0
195,465,1016.0,279.0,1.0
196,466,1022.0,279.0,1.0
197,467,1037.0,279.0,1.0
198,468,1048.0,279.0,1.0
199,469,1053.0,279.0,1.0
200,470,1055.0,279.0,1.0
201,471,1135.0,279.0,1.0
202,472,91.0,280.0,0.0
203,473,267.0,280.0,0.0
204,474,353.0,280.0,1.0
205,475,902.0,280.0,1.0
206,476,979.0,280.0,1.0
207,477,997.0,280.0,1.0
208,478,1021.0,280.0,1.0
209,479,1022.0,280.0,1.0
210,480,1043.0,280.0,1.0
211,481,1053.0,280.0,1.0
212,482,1055.0,280.0,1.0
213,483,1059.0,280.0,1.0
214,484,1125.0,280.0,1.0
215,485,1131.0,280.0,1.0
216,486,1132.0,280.0,1.0
217,487,1134.0,280.0,1.0
218,488,1135.0,280.0,1.0
219,489,1137.0,280.0,1.0
220,490,90.0,281.0,0.0
221,492,93.0,281.0,0.0
222,493,265.0,281.0,0.0
223,494,346.0,281.0,1.0
224,495,348.0,281.0,1.0
225,496,1022.0,281.0,1.0
226,497,1029.0,281.0,1.0
227,498,1059.0,281.0,1.0
228,499,1135.0,281.0,1.0
229,500,1136.0,281.0,1.0
